time,DK02 (capacity factor)
1980-01-01 00:00:00+00:00,0.226407
1980-01-01 01:00:00+00:00,0.224374
1980-01-01 02:00:00+00:00,0.220325
1980-01-01 03:00:00+00:00,0.216748
1980-01-01 04:00:00+00:00,0.214374
1980-01-01 05:00:00+00:00,0.215611
1980-01-01 06:00:00+00:00,0.218009
1980-01-01 07:00:00+00:00,0.221372
1980-01-01 08:00:00+00:00,0.218158
1980-01-01 09:00:00+00:00,0.202968
1980-01-01 10:00:00+00:00,0.181309
1980-01-01 11:00:00+00:00,0.16704
1980-01-01 12:00:00+00:00,0.151819
1980-01-01 13:00:00+00:00,0.125031
1980-01-01 14:00:00+00:00,0.093382
1980-01-01 15:00:00+00:00,0.066486
1980-01-01 16:00:00+00:00,0.052024
1980-01-01 17:00:00+00:00,0.05235
1980-01-01 18:00:00+00:00,0.071474
1980-01-01 19:00:00+00:00,0.09951
1980-01-01 20:00:00+00:00,0.133776
1980-01-01 21:00:00+00:00,0.167328
1980-01-01 22:00:00+00:00,0.191661
1980-01-01 23:00:00+00:00,0.214169
1980-01-02 00:00:00+00:00,0.246532
1980-01-02 01:00:00+00:00,0.280204
1980-01-02 02:00:00+00:00,0.311976
1980-01-02 03:00:00+00:00,0.362941
1980-01-02 04:00:00+00:00,0.406545
1980-01-02 05:00:00+00:00,0.426637
1980-01-02 06:00:00+00:00,0.425591
1980-01-02 07:00:00+00:00,0.421372
1980-01-02 08:00:00+00:00,0.39963
1980-01-02 09:00:00+00:00,0.369257
1980-01-02 10:00:00+00:00,0.337133
1980-01-02 11:00:00+00:00,0.320675
1980-01-02 12:00:00+00:00,0.311574
1980-01-02 13:00:00+00:00,0.31803
1980-01-02 14:00:00+00:00,0.3363
1980-01-02 15:00:00+00:00,0.349623
1980-01-02 16:00:00+00:00,0.346634
1980-01-02 17:00:00+00:00,0.340952
1980-01-02 18:00:00+00:00,0.336619
1980-01-02 19:00:00+00:00,0.346964
1980-01-02 20:00:00+00:00,0.369645
1980-01-02 21:00:00+00:00,0.385812
1980-01-02 22:00:00+00:00,0.393904
1980-01-02 23:00:00+00:00,0.410292
1980-01-03 00:00:00+00:00,0.421028
1980-01-03 01:00:00+00:00,0.412462
1980-01-03 02:00:00+00:00,0.402462
1980-01-03 03:00:00+00:00,0.377679
1980-01-03 04:00:00+00:00,0.346689
1980-01-03 05:00:00+00:00,0.335023
1980-01-03 06:00:00+00:00,0.339134
1980-01-03 07:00:00+00:00,0.349382
1980-01-03 08:00:00+00:00,0.351334
1980-01-03 09:00:00+00:00,0.355345
1980-01-03 10:00:00+00:00,0.364606
1980-01-03 11:00:00+00:00,0.370287
1980-01-03 12:00:00+00:00,0.359535
1980-01-03 13:00:00+00:00,0.344514
1980-01-03 14:00:00+00:00,0.332156
1980-01-03 15:00:00+00:00,0.321372
1980-01-03 16:00:00+00:00,0.302385
1980-01-03 17:00:00+00:00,0.270961
1980-01-03 18:00:00+00:00,0.233434
1980-01-03 19:00:00+00:00,0.189018
1980-01-03 20:00:00+00:00,0.151194
1980-01-03 21:00:00+00:00,0.116409
1980-01-03 22:00:00+00:00,0.083123
1980-01-03 23:00:00+00:00,0.056964
1980-01-04 00:00:00+00:00,0.040922
1980-01-04 01:00:00+00:00,0.030698
1980-01-04 02:00:00+00:00,0.024251
1980-01-04 03:00:00+00:00,0.021868
1980-01-04 04:00:00+00:00,0.025363
1980-01-04 05:00:00+00:00,0.037503
1980-01-04 06:00:00+00:00,0.062076
1980-01-04 07:00:00+00:00,0.09683
1980-01-04 08:00:00+00:00,0.142397
1980-01-04 09:00:00+00:00,0.190389
1980-01-04 10:00:00+00:00,0.2344
1980-01-04 11:00:00+00:00,0.271445
1980-01-04 12:00:00+00:00,0.318208
1980-01-04 13:00:00+00:00,0.375153
1980-01-04 14:00:00+00:00,0.451228
1980-01-04 15:00:00+00:00,0.534439
1980-01-04 16:00:00+00:00,0.600187
1980-01-04 17:00:00+00:00,0.635604
1980-01-04 18:00:00+00:00,0.663194
1980-01-04 19:00:00+00:00,0.68318
1980-01-04 20:00:00+00:00,0.703996
1980-01-04 21:00:00+00:00,0.724291
1980-01-04 22:00:00+00:00,0.723062
1980-01-04 23:00:00+00:00,0.699673
1980-01-05 00:00:00+00:00,0.652105
1980-01-05 01:00:00+00:00,0.59738
1980-01-05 02:00:00+00:00,0.53615
1980-01-05 03:00:00+00:00,0.477707
1980-01-05 04:00:00+00:00,0.429391
1980-01-05 05:00:00+00:00,0.39513
1980-01-05 06:00:00+00:00,0.365848
1980-01-05 07:00:00+00:00,0.332324
1980-01-05 08:00:00+00:00,0.300231
1980-01-05 09:00:00+00:00,0.26205
1980-01-05 10:00:00+00:00,0.213187
1980-01-05 11:00:00+00:00,0.167915
1980-01-05 12:00:00+00:00,0.13234
1980-01-05 13:00:00+00:00,0.106657
1980-01-05 14:00:00+00:00,0.097396
1980-01-05 15:00:00+00:00,0.114969
1980-01-05 16:00:00+00:00,0.13757
1980-01-05 17:00:00+00:00,0.149815
1980-01-05 18:00:00+00:00,0.158779
1980-01-05 19:00:00+00:00,0.169452
1980-01-05 20:00:00+00:00,0.181641
1980-01-05 21:00:00+00:00,0.175204
1980-01-05 22:00:00+00:00,0.156209
1980-01-05 23:00:00+00:00,0.148317
1980-01-06 00:00:00+00:00,0.15161
1980-01-06 01:00:00+00:00,0.16586
1980-01-06 02:00:00+00:00,0.18502
1980-01-06 03:00:00+00:00,0.202817
1980-01-06 04:00:00+00:00,0.219917
1980-01-06 05:00:00+00:00,0.2391
1980-01-06 06:00:00+00:00,0.259528
1980-01-06 07:00:00+00:00,0.274004
1980-01-06 08:00:00+00:00,0.273768
1980-01-06 09:00:00+00:00,0.266019
1980-01-06 10:00:00+00:00,0.251903
1980-01-06 11:00:00+00:00,0.240559
1980-01-06 12:00:00+00:00,0.237496
1980-01-06 13:00:00+00:00,0.249748
1980-01-06 14:00:00+00:00,0.288911
1980-01-06 15:00:00+00:00,0.339548
1980-01-06 16:00:00+00:00,0.379256
1980-01-06 17:00:00+00:00,0.390731
1980-01-06 18:00:00+00:00,0.392654
1980-01-06 19:00:00+00:00,0.385519
1980-01-06 20:00:00+00:00,0.378544
1980-01-06 21:00:00+00:00,0.347514
1980-01-06 22:00:00+00:00,0.301765
1980-01-06 23:00:00+00:00,0.26078
1980-01-07 00:00:00+00:00,0.236845
1980-01-07 01:00:00+00:00,0.233302
1980-01-07 02:00:00+00:00,0.24424
1980-01-07 03:00:00+00:00,0.269281
1980-01-07 04:00:00+00:00,0.294894
